Rank,Name,Date,Rating
196,Mr. Smith Goes to Washington,1939,8.10
197,Relatos salvajes,2014,8.10
198,Mad Max: Fury Road,2015,8.10
199,Det sjunde inseglet,1957,8.10
200,Mary and Max.,2009,8.10
201,Room,2015,8.10
202,How to Train Your Dragon,2010,8.10
203,"Monsters, Inc.",2001,8.10
204,Jaws,1975,8.10
205,The Big Lebowski,1998,8.10
206,Dead Poets Society,1989,8.10
207,Tôkyô monogatari,1953,8.10
208,La passion de Jeanne d'Arc,1928,8.10
209,Hotel Rwanda,2004,8.00
210,Ford v Ferrari,2019,8.00
211,Rocky,1976,8.00
212,Platoon,1986,8.00
213,Spotlight,2015,8.00
214,Ratatouille,2007,8.00
215,The Terminator,1984,8.00
216,Stand by Me,1986,8.00
217,Logan,2017,8.00
218,Rush,2013,8.00
219,Network,1976,8.00
220,Pather Panchali,1955,8.00
221,Into the Wild,2007,8.00
222,Before Sunset,2004,8.00
223,The Wizard of Oz,1939,8.00
224,Groundhog Day,1993,8.00
225,The Best Years of Our Lives,1946,8.00
226,The Exorcist,1973,8.00
227,The Incredibles,2004,8.00
228,To Be or Not to Be,1942,8.00
229,La battaglia di Algeri,1966,8.00
230,La haine,1995,8.00
231,Hachi: A Dog's Tale,2009,8.00
232,Jai Bhim,2021,8.00
233,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.00
234,Babam ve Oglum,2005,8.00
235,The Grapes of Wrath,1940,8.00
236,Amores perros,2000,8.00
237,Rebecca,1940,8.00
238,Cool Hand Luke,1967,8.00
239,Ah-ga-ssi,2016,8.00
240,Les quatre cents coups,1959,8.00
241,The Sound of Music,1965,8.00
242,It Happened One Night,1934,8.00
243,Persona,1966,8.00
244,Life of Brian,1979,8.00
245,The Iron Giant,1999,8.00
246,Dersu Uzala,1975,8.00
247,The Help,2011,8.00
248,Aladdin,1992,8.00
249,Gandhi,1982,8.00
250,Dances with Wolves,1990,8.00
